date;id_station;id_network;type;latitude;longitude;altitude;area_adm_1;area_adm_2;name;value;value_max
29/12/16 12:00;DEZ2689;Eurdep;air;53.97;11.04;;Germany;KALKHORST;KALKHORST;7.759;7.92
28/12/16 22:00;DEZ2690;Eurdep;air;53.95;11.59;;Germany;NEUBURG;NEUBURG;7.36;7.36
29/12/16 12:00;DEZ2691;Eurdep;air;53.86;10.93;;Germany;SCHÖNBERG;SCHÖNBERG;8.411;8.71
29/12/16 12:00;DEZ2694;Eurdep;air;54.04;13.3;;Germany;DERSEKOW;DERSEKOW;7.569;7.73
28/12/16 22:00;DEZ2695;Eurdep;air;53.83;13.44;;Germany;KRIEN;KRIEN;9.49;9.49
29/12/16 12:00;DEZ2696;Eurdep;air;53.52;11.64;;Germany;TRAMM;TRAMM;7.48;7.62
28/12/16 22:00;DEZ2705;Eurdep;air;50.4;12.35;;Germany;SCHÖNECK;SCHÖNECK;13.0;13.0
29/12/16 12:00;DEZ2706;Eurdep;air;50.38;12.13;;Germany;TRIEBEL;TRIEBEL;11.193;11.0
28/12/16 22:00;DEZ2708;Eurdep;air;50.43;12.95;;Germany;OBERWIESENTHAL;OBERWIESENTHAL;11.0;11.0
29/12/16 12:00;DEZ2710;Eurdep;air;51.54;12.34;;Germany;DELITZSCH;DELITZSCH;9.48;9.64
29/12/16 12:00;DEZ2712;Eurdep;air;51.31;12.52;;Germany;ENGELSDORF OT KLEINPÖSNA;ENGELSDORF OT KLEINPÖSNA;9.431;9.66
29/12/16 12:00;DEZ2713;Eurdep;air;51.22;12.32;;Germany;ZWENKAU;ZWENKAU;9.393;9.61
29/12/16 12:00;DEZ2714;Eurdep;air;51.06;13.27;;Germany;NOSSEN;NOSSEN;9.902;10.0
29/12/16 12:00;DEZ2715;Eurdep;air;50.61;13.46;;Germany;DEUTSCHNEUDORF;DEUTSCHNEUDORF;11.367;11.78
29/12/16 12:00;DEZ2716;Eurdep;air;50.56;13.22;;Germany;REITZENHAIN;REITZENHAIN;12.156;12.671
29/12/16 09:00;DEZ2717;Eurdep;air;50.6;13.3;;Germany;RÜBENAU;RÜBENAU;10.0;10.0
28/12/16 22:00;DEZ2721;Eurdep;air;51.26;15.03;;Germany;DESCHKA;DESCHKA;9.32;9.32
28/12/16 22:00;DEZ2722;Eurdep;air;51.12;14.81;;Germany;REICHENBACH/O.L.;REICHENBACH/O.L.;8.0;8.0
28/12/16 22:00;DEZ2726;Eurdep;air;51.63;12.88;;Germany;DOMMITZSCH;DOMMITZSCH;7.14;7.14
28/12/16 22:00;DEZ2728;Eurdep;air;50.44;12.59;;Germany;CARLSFELD;CARLSFELD;11.0;11.0
28/12/16 22:00;DEZ2732;Eurdep;air;52.12;12.09;;Germany;LOBURG;LOBURG;6.69;6.69
29/12/16 12:00;DEZ2734;Eurdep;air;51.72;12.62;;Germany;ATERITZ;ATERITZ;7.056;7.0
29/12/16 12:00;DEZ2736;Eurdep;air;51.28;11.64;;Germany;KARSDORF;KARSDORF;10.548;10.0
28/12/16 22:00;DEZ2737;Eurdep;air;51.09;11.93;;Germany;OSTERFELD;OSTERFELD;8.81;8.81
29/12/16 12:00;DEZ2739;Eurdep;air;51.3;11.79;;Germany;MÜCHELN;MÜCHELN;8.468;8.79
29/12/16 12:00;DEZ2740;Eurdep;air;51.28;12.1;;Germany;TOLLWITZ;TOLLWITZ;8.973;9.22
28/12/16 22:00;DEZ2741;Eurdep;air;51.44;12.04;;Germany;DIESKAU;DIESKAU;8.0;8.0
29/12/16 12:00;DEZ2745;Eurdep;air;51.23;11.88;;Germany;PETTSTÄDT;PETTSTÄDT;9.616;9.74
29/12/16 12:00;DEZ2748;Eurdep;air;52.07;11.37;;Germany;KLEIN WANZLEBEN;KLEIN WANZLEBEN;10.275;10.0
29/12/16 12:00;DEZ2750;Eurdep;air;52.17;11.07;;Germany;SOMMERSDORF;SOMMERSDORF;9.233;9.52
29/12/16 12:00;DEZ2752;Eurdep;air;52.32;11.15;;Germany;BEHNSDORF;BEHNSDORF;6.724;6.89
29/12/16 12:00;DEZ2758;Eurdep;air;52.99;11.67;;Germany;WAHRENBERG;WAHRENBERG;6.791;6.99
29/12/16 12:00;DEZ2759;Eurdep;air;51.74;11.23;;Germany;BALLENSTEDT;BALLENSTEDT;8.564;8.81
29/12/16 12:00;DEZ2760;Eurdep;air;51.65;11.14;;Germany;HARZGERODE;HARZGERODE;9.51;9.73
29/12/16 12:00;DEZ2762;Eurdep;air;51.69;10.85;;Germany;HASSELFELDE;HASSELFELDE;9.668;9.95
28/12/16 22:00;DEZ2764;Eurdep;air;52.51;11.18;;Germany;PECKFITZ;PECKFITZ;7.35;7.35
28/12/16 22:00;DEZ2765;Eurdep;air;52.71;11.05;;Germany;ROHRBERG;ROHRBERG;7.24;7.24
29/12/16 12:00;DEZ2766;Eurdep;air;52.43;11.4;;Germany;ROXFÖRDE;ROXFÖRDE;6.323;6.66
28/12/16 22:00;DEZ2767;Eurdep;air;52.74;11.24;;Germany;WINTERFELD;WINTERFELD;6.96;6.96
28/12/16 22:00;DEZ2771;Eurdep;air;51.44;10.57;;Germany;BLEICHERODE;BLEICHERODE;11.0;11.0
29/12/16 12:00;DEZ2772;Eurdep;air;50.76;10.08;;Germany;GEHAUS;GEHAUS;9.993;10.0
29/12/16 12:00;DEZ2776;Eurdep;air;50.72;10.45;;Germany;SCHMALKALDEN;SCHMALKALDEN;13.0;13.0
29/12/16 12:00;DEZ2779;Eurdep;air;50.41;10.73;;Germany;HILDBURGHAUSEN;HILDBURGHAUSEN;9.216;9.65
29/12/16 12:00;DEZ2782;Eurdep;air;50.78;11.39;;Germany;NEUSITZ;NEUSITZ;11.0;11.45
29/12/16 12:00;DEZ2783;Eurdep;air;50.66;11.1;;Germany;KÖNIGSEE;KÖNIGSEE;10.763;11.0
29/12/16 12:00;DEZ2785;Eurdep;air;50.86;11.87;;Germany;REICHENBACH;REICHENBACH;9.044;9.25
28/12/16 22:00;DEZ2786;Eurdep;air;50.46;11.53;;Germany;WURZBACH;WURZBACH;12.0;12.0
29/12/16 12:00;DEZ2789;Eurdep;air;54.11;8.94;;Germany;NORDERMELDORF;NORDERMELDORF;6.671;6.89
28/12/16 22:00;DEZ2790;Eurdep;air;53.73;10.72;;Germany;KLEIN DISNACK;KLEIN DISNACK;8.27;8.27
29/12/16 12:00;DEZ2791;Eurdep;air;54.43;9.2;;Germany;WINNERT;WINNERT;6.574;6.78
29/12/16 12:00;DEZ2792;Eurdep;air;54.81;8.71;;Germany;EMMELSBÜLL;EMMELSBÜLL;7.734;7.95
29/12/16 12:00;DEZ2793;Eurdep;air;54.21;9.92;;Germany;LANGWEDEL;LANGWEDEL;7.467;7.62
29/12/16 12:00;DEZ2794;Eurdep;air;54.13;9.56;;Germany;TODENBÜTTEL;TODENBÜTTEL;7.165;7.36
29/12/16 12:00;DEZ2795;Eurdep;air;54.44;9.43;;Germany;GROß RHEIDE;GROß RHEIDE;5.883;6.16
29/12/16 12:00;DEZ2797;Eurdep;air;53.97;9.97;;Germany;GROßENASPE;GROßENASPE;6.56;6.79
29/12/16 12:00;DEZ2798;Eurdep;air;54.04;10.22;;Germany;TRAPPENKAMP;TRAPPENKAMP;7.226;7.51
29/12/16 12:00;DEZ2799;Eurdep;air;52.15;10.33;;Germany;SALZGITTER-LEBENSTEDT;SALZGITTER-LEBENSTEDT;9.45;9.55
29/12/16 12:00;DEZ2804;Eurdep;air;53.25;8.82;;Germany;OSTERH.-SCHARMB. OT PENNIGBÜTTEL;OSTERH.-SCHARMB. OT PENNIGBÜTTEL;5.927;6.19
29/12/16 12:00;DEZ2805;Eurdep;air;53.46;7.83;;Germany;FRIEDEBURG;FRIEDEBURG;5.394;5.65
29/12/16 12:00;DEZ2806;Eurdep;air;53.05;8.8;;Germany;BREMEN-NEUENLANDE;BREMEN-NEUENLANDE;6.584;6.83
29/12/16 12:00;DEZ2807;Eurdep;air;50.8;6.4;;Germany;LANGERWEHE-SCHLICH;LANGERWEHE-SCHLICH;9.324;9.0
29/12/16 12:00;DEZ2808;Eurdep;air;50.97;6.28;;Germany;LINNICH;LINNICH;9.36;9.92
28/12/16 22:00;DEZ2809;Eurdep;air;50.87;6.47;;Germany;NIEDERZIER;NIEDERZIER;8.39;8.39
29/12/16 12:00;DEZ2810;Eurdep;air;50.91;6.68;;Germany;KERPEN-SINDORF;KERPEN-SINDORF;9.226;9.68
29/12/16 12:00;DEZ2812;Eurdep;air;50.96;7.55;;Germany;WIEHL;WIEHL;10.095;10.0
29/12/16 12:00;DEZ2813;Eurdep;air;52.04;7.1;;Germany;LEGDEN;LEGDEN;6.114;6.37
29/12/16 12:00;DEZ2814;Eurdep;air;52.1;7.23;;Germany;SCHÖPPINGEN;SCHÖPPINGEN;5.643;5.98
29/12/16 12:00;DEZ2816;Eurdep;air;52.32;7.79;;Germany;METTINGEN;METTINGEN;7.255;7.51
